mission_id,mission_title,task_label,tier,content,page_type
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 1,A,"Just 13% of the population lives within 1 hour, while nearly 87% lives 3+ hours away...",
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 1,B,"Only 280 people live within 1 hour, while 1,700+ live 3 or more hours away...",
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 1,C,Most people have to travel a long time to get help...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 2,A,I support a tiered policy approach that subsidizes preventive clinics...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 2,B,I support a policy that adds small clinics in underserved areas...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 2,C,I think the government should bring help to people if they live far away...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 3,A,"To minimize average travel time, I’d map the population data and use weighted centroid placement...",
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 3,B,I’d place the center where the largest group of people lives...,
b095cf38-127c-4251-a3bb-2b8a1ac230ba,Exploring AP Calculus Concepts in Real-World Scenarios,Task 3,C,I would put the clinic in the middle of the neighborhood...,
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Prethinking-Ideas,A,I’d remix this to explore how ethical design impacts my community.,Prethinking-Ideas
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Prethinking-Ideas,B,This reminds me of how systems thinking can show up in ways we don’t expect.,Prethinking-Ideas
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Prethinking-Ideas,C,This task made me think about how math connects to statistical insight in the real world.,Prethinking-Ideas
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Prethinking-Questions,A,This task made me think about how math connects to real-world application in the real world.,Prethinking-Questions
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Prethinking-Questions,B,I’d remix this to explore how creative remix impacts my community.,Prethinking-Questions
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Prethinking-Questions,C,I’d remix this to explore how statistical insight impacts my community.,Prethinking-Questions
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Reflection,A,This reminds me of how student agency can show up in ways we don’t expect.,Reflection
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Reflection,B,This task made me think about how math connects to statistical insight in the real world.,Reflection
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Reflection,C,This reminds me of how equity in access can show up in ways we don’t expect.,Reflection
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Remix,A,I’d remix this to explore how systems thinking impacts my community.,Remix
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Remix,B,This reminds me of how equity in access can show up in ways we don’t expect.,Remix
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Remix,C,This reminds me of how pattern recognition can show up in ways we don’t expect.,Remix
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 1,A,This task made me think about how math connects to calculus reasoning in the real world.,Task 1
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 1,B,This task made me think about how math connects to systems thinking in the real world.,Task 1
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 1,C,This task made me think about how math connects to pattern recognition in the real world.,Task 1
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 2,A,This task made me think about how math connects to equity in access in the real world.,Task 2
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 2,B,This task made me think about how math connects to ethical design in the real world.,Task 2
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 2,C,I’d remix this to explore how real-world application impacts my community.,Task 2
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 3,A,This task made me think about how math connects to student agency in the real world.,Task 3
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 3,B,This reminds me of how equity in access can show up in ways we don’t expect.,Task 3
57586f9a-f79b-481f-a580-69f687aabb52,Green New Deal for Public Housing,Task 3,C,I’d remix this to explore how calculus reasoning impacts my community.,Task 3
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Prethinking-Ideas,A,I’d remix this to explore how real-world application impacts my community.,Prethinking-Ideas
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Prethinking-Ideas,B,This task made me think about how math connects to statistical insight in the real world.,Prethinking-Ideas
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Prethinking-Ideas,C,This reminds me of how equity in access can show up in ways we don’t expect.,Prethinking-Ideas
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Prethinking-Questions,A,This task made me think about how math connects to ethical design in the real world.,Prethinking-Questions
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Prethinking-Questions,B,I’d remix this to explore how structural injustice impacts my community.,Prethinking-Questions
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Prethinking-Questions,C,This reminds me of how structural injustice can show up in ways we don’t expect.,Prethinking-Questions
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Reflection,A,I’d remix this to explore how structural injustice impacts my community.,Reflection
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Reflection,B,This task made me think about how math connects to equity in access in the real world.,Reflection
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Reflection,C,This reminds me of how systems thinking can show up in ways we don’t expect.,Reflection
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Remix,A,I’d remix this to explore how real-world application impacts my community.,Remix
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Remix,B,This reminds me of how pattern recognition can show up in ways we don’t expect.,Remix
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Remix,C,This reminds me of how systems thinking can show up in ways we don’t expect.,Remix
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 1,A,This task made me think about how math connects to creative remix in the real world.,Task 1
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 1,B,This task made me think about how math connects to real-world application in the real world.,Task 1
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 1,C,This task made me think about how math connects to calculus reasoning in the real world.,Task 1
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 2,A,I’d remix this to explore how real-world application impacts my community.,Task 2
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 2,B,This reminds me of how ethical design can show up in ways we don’t expect.,Task 2
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 2,C,I’d remix this to explore how calculus reasoning impacts my community.,Task 2
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 3,A,This reminds me of how ethical design can show up in ways we don’t expect.,Task 3
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 3,B,This reminds me of how calculus reasoning can show up in ways we don’t expect.,Task 3
fef1716d-2eec-427d-ac7f-2b692d8b92f7,Impact of Climate Change on Economy and Health,Task 3,C,I’d remix this to explore how equity in access impacts my community.,Task 3
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Prethinking-Ideas,A,I’m thinking about how probability can measure waiting time — not just chances...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Prethinking-Ideas,B,This reminds me of waiting to win something — like a game or prize...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Prethinking-Ideas,C,"Sometimes it feels like no matter how many times you try, nothing works...",
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Prethinking-Questions,A,What distinguishes geometric distributions from other types...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Prethinking-Questions,B,How does probability tell us how many tries we’ll need to succeed?,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Prethinking-Questions,C,"Why do rare things feel so impossible, even if we know they’re possible?",
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Reflection,A,I realized that probability isn’t just about games. It’s about how long people wait...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Reflection,B,This helped me understand how rare events are part of a pattern...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Reflection,C,I never knew math could explain waiting. It made me feel less alone...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Remix,A,I’d remix this for voter engagement. How many outreach attempts does it take...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Remix,B,What if we used this to study mentorship access...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Remix,C,I’d use this to understand why I never win raffles...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 1,A,This is about modeling ‘expected wait.’ In a geometric distribution...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 1,B,I used the formula 1/p and realized that with a 20% success rate...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 1,C,"If it takes a lot of tries to win something, that’s what this shows...",
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 2,A,Geometric models can show how systems appear fair but function as filters...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 2,B,"In a housing lottery with 1 in 50 odds, the expected wait could be years...",
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 2,C,People apply for housing over and over and never get picked...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 3,A,I’d use geometric distribution to model artist grants. Creators with limited access...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 3,B,This could be used for job hunting. If someone has a 1 in 20 chance...,
182b2688-0a78-4dc5-9981-35d57f0b7d68,Probability and Sampling Distributions,Task 3,C,I would use this for scholarships. Sometimes it feels like you try so many times...,
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Prethinking-Ideas,A,This task made me think about how math connects to equity in access in the real world.,Prethinking-Ideas
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Prethinking-Ideas,B,This task made me think about how math connects to ethical design in the real world.,Prethinking-Ideas
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Prethinking-Ideas,C,This task made me think about how math connects to real-world application in the real world.,Prethinking-Ideas
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Prethinking-Questions,A,This task made me think about how math connects to creative remix in the real world.,Prethinking-Questions
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Prethinking-Questions,B,This reminds me of how pattern recognition can show up in ways we don’t expect.,Prethinking-Questions
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Prethinking-Questions,C,I’d remix this to explore how ethical design impacts my community.,Prethinking-Questions
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Reflection,A,This reminds me of how real-world application can show up in ways we don’t expect.,Reflection
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Reflection,B,This reminds me of how equity in access can show up in ways we don’t expect.,Reflection
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Reflection,C,I’d remix this to explore how student agency impacts my community.,Reflection
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Remix,A,This reminds me of how systems thinking can show up in ways we don’t expect.,Remix
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Remix,B,I’d remix this to explore how creative remix impacts my community.,Remix
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Remix,C,This reminds me of how systems thinking can show up in ways we don’t expect.,Remix
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 1,A,I’d remix this to explore how real-world application impacts my community.,Task 1
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 1,B,I’d remix this to explore how creative remix impacts my community.,Task 1
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 1,C,This reminds me of how creative remix can show up in ways we don’t expect.,Task 1
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 2,A,This task made me think about how math connects to systems thinking in the real world.,Task 2
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 2,B,This task made me think about how math connects to creative remix in the real world.,Task 2
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 2,C,I’d remix this to explore how ethical design impacts my community.,Task 2
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 3,A,This task made me think about how math connects to equity in access in the real world.,Task 3
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 3,B,This reminds me of how equity in access can show up in ways we don’t expect.,Task 3
9ed6a6a2-2f0c-4c49-859b-4ae87e8741e4,Safe Internet: Ethics and EdTech,Task 3,C,This task made me think about how math connects to ethical design in the real world.,Task 3
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Prethinking-Ideas,A,This task made me think about how math connects to pattern recognition in the real world.,Prethinking-Ideas
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Prethinking-Ideas,B,This reminds me of how equity in access can show up in ways we don’t expect.,Prethinking-Ideas
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Prethinking-Ideas,C,This task made me think about how math connects to student agency in the real world.,Prethinking-Ideas
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Prethinking-Questions,A,I’d remix this to explore how real-world application impacts my community.,Prethinking-Questions
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Prethinking-Questions,B,This task made me think about how math connects to student agency in the real world.,Prethinking-Questions
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Prethinking-Questions,C,I’d remix this to explore how systems thinking impacts my community.,Prethinking-Questions
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Reflection,A,I’d remix this to explore how ethical design impacts my community.,Reflection
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Reflection,B,This reminds me of how equity in access can show up in ways we don’t expect.,Reflection
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Reflection,C,This reminds me of how ethical design can show up in ways we don’t expect.,Reflection
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Remix,A,This task made me think about how math connects to pattern recognition in the real world.,Remix
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Remix,B,This reminds me of how pattern recognition can show up in ways we don’t expect.,Remix
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Remix,C,This task made me think about how math connects to pattern recognition in the real world.,Remix
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 1,A,I’d remix this to explore how calculus reasoning impacts my community.,Task 1
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 1,B,This task made me think about how math connects to pattern recognition in the real world.,Task 1
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 1,C,This reminds me of how student agency can show up in ways we don’t expect.,Task 1
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 2,A,This task made me think about how math connects to pattern recognition in the real world.,Task 2
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 2,B,I’d remix this to explore how creative remix impacts my community.,Task 2
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 2,C,This task made me think about how math connects to structural injustice in the real world.,Task 2
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 3,A,This task made me think about how math connects to systems thinking in the real world.,Task 3
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 3,B,This reminds me of how statistical insight can show up in ways we don’t expect.,Task 3
e21ac366-08b1-42ad-91e7-d91cae65772b,Spinning Toy Design,Task 3,C,I’d remix this to explore how equity in access impacts my community.,Task 3
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Prethinking-Ideas,A,This task made me think about how math connects to creative remix in the real world.,Prethinking-Ideas
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Prethinking-Ideas,B,This reminds me of how statistical insight can show up in ways we don’t expect.,Prethinking-Ideas
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Prethinking-Ideas,C,This task made me think about how math connects to ethical design in the real world.,Prethinking-Ideas
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Prethinking-Questions,A,This task made me think about how math connects to statistical insight in the real world.,Prethinking-Questions
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Prethinking-Questions,B,This task made me think about how math connects to equity in access in the real world.,Prethinking-Questions
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Prethinking-Questions,C,This reminds me of how calculus reasoning can show up in ways we don’t expect.,Prethinking-Questions
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Reflection,A,This reminds me of how structural injustice can show up in ways we don’t expect.,Reflection
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Reflection,B,This task made me think about how math connects to real-world application in the real world.,Reflection
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Reflection,C,This task made me think about how math connects to ethical design in the real world.,Reflection
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Remix,A,I’d remix this to explore how real-world application impacts my community.,Remix
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Remix,B,I’d remix this to explore how calculus reasoning impacts my community.,Remix
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Remix,C,This task made me think about how math connects to structural injustice in the real world.,Remix
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 1,A,This task made me think about how math connects to systems thinking in the real world.,Task 1
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 1,B,I’d remix this to explore how structural injustice impacts my community.,Task 1
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 1,C,I’d remix this to explore how real-world application impacts my community.,Task 1
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 2,A,This reminds me of how equity in access can show up in ways we don’t expect.,Task 2
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 2,B,This reminds me of how ethical design can show up in ways we don’t expect.,Task 2
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 2,C,This task made me think about how math connects to calculus reasoning in the real world.,Task 2
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 3,A,I’d remix this to explore how statistical insight impacts my community.,Task 3
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 3,B,This reminds me of how creative remix can show up in ways we don’t expect.,Task 3
36cadbf4-7292-4c42-b4f7-fd1898f06cc3,Understanding Black Holes: A Mathematical Approach,Task 3,C,This task made me think about how math connects to statistical insight in the real world.,Task 3
e7fa05ff-9a55-4286-b8e2-701f2ba50b81,Understanding Mass Incarceration,Prethinking-Ideas,A,I’d remix this to explore how real-world application impacts my community.,Prethinking-Ideas
e7fa05ff-9a55-4286-b8e2-701f2ba50b81,Understanding Mass Incarceration,Prethinking-Ideas,B,This task made me think about how math connects to ethical design in the real world.,Prethinking-Ideas
e7fa05ff-9a55-4286-b8e2-701f2ba50b81,Understanding Mass Incarceration,Prethinking-Ideas,C,This task made me think about how math connects to real-world application in the real world.,Prethinking-Ideas
e7fa05ff-9a55-4286-b8e2-701f2ba50b81,Understanding Mass Incarceration,Prethinking-Questions,A,I’d remix this to explore how calculus reasoning impacts my community.,Prethinking-Questions
